titulo,artista,album,duracion,popularidad
Don't Stop Believin' (2024 Remaster),Journey,Greatest Hits (2024 Remaster),250,16
Rockstar,Nickelback,All the Right Reasons,255,11
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things,242,12
Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love,242,15
Pumped Up Kicks,Foster the People,Torches,239,11
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,213,10
Sail,AWOLNATION,Megalithic Symphony,259,15
What Makes You Beautiful,One Direction,Up All Night (Deluxe Version),199,15
Locked Out of Heaven,Bruno Mars,Unorthodox Jukebox,233,10
Stronger (What Doesn't Kill You),Kelly Clarkson,Stronger (Deluxe Version),221,18
Lights (2024 Remaster),Journey,Greatest Hits (2024 Remaster),190,16
Not Over You,Gavin DeGraw,Sweeter,218,10
Bleeding Love,Leona Lewis,Bleeding Love - Single,262,1
Second Chance,Shinedown,The Sound of Madness (Bonus Track Version),222,14
Take Me to Church,Hozier,Hozier (Expanded Edition),241,15
Story of My Life,One Direction,Midnight Memories (Deluxe Edition),245,18
Burn It to the Ground,Nickelback,Dark Horse,212,11
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word (Deluxe Version),240,18
